                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5047,                 1.8677,                 1.8471,                0.63488,                0.62937,                0.66578,                0.34526,                 1.6237,                 1.4092,                 2.1783,                 0.0701,              0.0033222,              0.0033222
                      1,                  1.436,                 1.4388,                 1.7745,                 0.3644,                0.33917,                0.28561,                0.10659,                 2.1291,                 2.4072,                 2.7626,               0.039836,               0.006392,               0.006392
                      2,                 1.5261,                 1.5856,                 1.8479,                0.46965,                0.46383,                0.45564,                0.20114,                 1.9604,                 2.1994,                 2.6141,              0.0093089,              0.0091978,              0.0091978
                      3,                 1.5939,                 1.7386,                  1.928,                0.49351,                0.48436,                0.47259,                0.21553,                 1.8381,                 1.8919,                 2.4758,               0.008812,               0.008812,               0.008812
                      4,                 1.5835,                 1.7361,                 1.9272,                0.56036,                  0.551,                0.55525,                0.26546,                 1.7222,                 1.6826,                 2.3155,               0.008812,               0.008812,               0.008812
                      5,                 1.5592,                 1.6682,                  1.885,                0.59716,                0.56721,                0.59464,                0.28461,                 1.7251,                 1.6217,                 2.3535,               0.008416,               0.008416,               0.008416
                      6,                 1.5046,                 1.5826,                 1.8465,                0.64036,                0.57472,                0.63452,                0.33191,                 1.6183,                 1.5661,                 2.2217,                0.00802,                0.00802,                0.00802
                      7,                  1.479,                 1.5565,                 1.8255,                0.67049,                0.62078,                0.68386,                0.35222,                 1.6222,                 1.5094,                 2.1926,               0.007624,               0.007624,               0.007624
                      8,                 1.4441,                 1.4674,                 1.7901,                0.64532,                0.66258,                0.69101,                0.37534,                 1.5279,                 1.3825,                 2.0961,               0.007228,               0.007228,               0.007228
                      9,                 1.4279,                 1.4243,                 1.7801,                0.69598,                0.65457,                 0.7063,                0.38351,                 1.5675,                 1.3971,                 2.1479,               0.006832,               0.006832,               0.006832
                     10,                 1.3728,                 1.3541,                 1.7253,                0.74588,                0.69945,                0.77148,                0.43512,                 1.4821,                 1.2171,                  2.036,               0.006436,               0.006436,               0.006436
                     11,                 1.3575,                 1.3266,                 1.7107,                0.73045,                0.68911,                0.76879,                0.45559,                 1.4094,                 1.1945,                 1.9776,                0.00604,                0.00604,                0.00604
                     12,                 1.3196,                 1.2473,                 1.6821,                0.74765,                0.71114,                0.78755,                0.45853,                 1.4252,                 1.1789,                 1.9815,               0.005644,               0.005644,               0.005644
                     13,                 1.3183,                 1.2359,                 1.6766,                0.77538,                 0.7572,                0.82214,                0.48615,                 1.3998,                 1.0565,                 1.9636,               0.005248,               0.005248,               0.005248
                     14,                 1.2821,                 1.1976,                 1.6366,                0.76503,                0.73992,                0.81065,                0.48363,                 1.4097,                 1.0607,                 1.9493,               0.004852,               0.004852,               0.004852
                     15,                 1.2745,                 1.0149,                 1.7876,                0.77473,                0.70538,                0.78952,                0.45127,                 1.4721,                 1.1282,                 2.0392,               0.004456,               0.004456,               0.004456
                     16,                 1.2516,                0.96009,                 1.7663,                0.77297,                0.75422,                0.81948,                0.47716,                 1.4157,                 1.0451,                 1.9604,                0.00406,                0.00406,                0.00406
                     17,                 1.1987,                0.90545,                 1.7142,                0.80848,                0.76596,                0.84884,                0.51979,                 1.3455,                0.98325,                 1.8906,               0.003664,               0.003664,               0.003664
                     18,                 1.1706,                0.85039,                  1.678,                0.82479,                0.82078,                0.88647,                0.56259,                 1.2792,                0.87164,                 1.8285,               0.003268,               0.003268,               0.003268
                     19,                  1.127,                0.81532,                 1.6545,                0.81612,                0.77104,                0.85223,                0.52685,                 1.3264,                0.95813,                 1.8778,               0.002872,               0.002872,               0.002872
                     20,                 1.0681,                0.75645,                 1.5967,                0.84736,                0.81566,                0.89352,                0.58715,                 1.2249,                0.83444,                 1.7726,               0.002476,               0.002476,               0.002476
                     21,                 1.0468,                 0.7123,                 1.5729,                0.83407,                0.84806,                0.90326,                0.60375,                 1.2024,                0.79983,                 1.7513,                0.00208,                0.00208,                0.00208
                     22,                 1.0025,                0.67869,                 1.5261,                0.84702,                0.83988,                0.90299,                0.60633,                 1.1936,                0.78698,                 1.7409,               0.001684,               0.001684,               0.001684
                     23,                0.96375,                0.63211,                 1.4992,                0.85336,                0.85882,                0.91234,                 0.6256,                 1.1442,                0.73574,                 1.7002,               0.001288,               0.001288,               0.001288
                     24,                  0.944,                0.60201,                 1.4759,                0.86418,                0.84656,                0.91428,                0.62914,                 1.1507,                 0.7262,                 1.7057,               0.000892,               0.000892,               0.000892
